  4.000000000000000E-004   17.0612027385900      -3.954345990991017E-004
  5.000000000000000E-004  -539.976881918167       1.683994040420765E-002
  6.000000000000001E-004   16602.2590398345      -0.766065312931596     
  7.000000000000001E-004  -639545.068544801       -62.9647367814293     
  8.000000000000001E-004  -11961240925.9795        101164.676675197     
  9.000000000000002E-004 -8.975962565022364E+020   14943341426061.4     
  1.000000000000000E-003 -7.476253599900268E+041  5.992326266102067E+031
  1.000000000000000E-004  2.080809619857507E-005  1.012011971036646E-006
  2.000000000000000E-004  4.823053411080047E-005  1.015323990526702E-006
  3.000000000000000E-004  7.743176763988327E-005  1.015735740874803E-006
  4.000000000000000E-004  1.067726841714902E-004  1.015181117929223E-006
  5.000000000000000E-004  1.357048529771004E-004  1.014304975471727E-006
  6.000000000000001E-004  1.640519338328568E-004  1.013322338183031E-006
  7.000000000000001E-004  1.917643479118007E-004  1.012304904875044E-006
  8.000000000000001E-004  2.188355359518433E-004  1.011276582551130E-006
  9.000000000000002E-004  2.452733772745089E-004  1.010245342092102E-006
  1.000000000000000E-003  2.710904389425941E-004  1.009213840486964E-006
  1.000000000000000E-004  2.080809619857507E-005  1.012011971036646E-006
  2.000000000000000E-004  4.823053411066806E-005  1.015323990526702E-006
  3.000000000000000E-004  7.743176763965023E-005  1.015735740874804E-006
  4.000000000000000E-004  1.067726841713573E-004  1.015181117929226E-006
  5.000000000000000E-004  1.357048529776619E-004  1.014304975471735E-006
  6.000000000000001E-004  1.640519338352635E-004  1.013322338183046E-006
  7.000000000000001E-004  1.917643479179240E-004  1.012304904875068E-006
  8.000000000000001E-004  2.188355359644361E-004  1.011276582551166E-006
  9.000000000000002E-004  2.452733772973601E-004  1.010245342092151E-006
  1.000000000000000E-003  2.710904389806761E-004  1.009213840487029E-006
  1.000000000000000E-004  2.076439117193485E-005  9.997230642287620E-007
  2.000000000000000E-004  4.814164682236899E-005  9.868219179634487E-007
  3.000000000000000E-004  7.727742082020194E-005  9.699348425289403E-007
  4.000000000000000E-004  1.065304232244075E-004  9.519556425112563E-007
  5.000000000000000E-004  1.353529935759581E-004  9.338505730097358E-007
  6.000000000000001E-004  1.635710161910253E-004  9.159391705759686E-007
  7.000000000000001E-004  1.911375766826961E-004  8.983240494901462E-007
  8.000000000000001E-004  2.180488488359224E-004  8.810351232414290E-007
  9.000000000000002E-004  2.443153801011116E-004  8.640779980107806E-007
  1.000000000000000E-003  2.699522950162571E-004  8.474502099587640E-007
  1.000000000000000E-004  2.076439117192786E-005  9.997230642287620E-007
  2.000000000000000E-004  4.814164682236874E-005  9.868219179634487E-007
  3.000000000000000E-004  7.727742082020198E-005  9.699348425289401E-007
  4.000000000000000E-004  1.065304232244075E-004  9.519556425112561E-007
  5.000000000000000E-004  1.353529935759581E-004  9.338505730097357E-007
  6.000000000000001E-004  1.635710161910253E-004  9.159391705759687E-007
  7.000000000000001E-004  1.911375766826961E-004  8.983240494901463E-007
  8.000000000000001E-004  2.180488488359224E-004  8.810351232414290E-007
  9.000000000000002E-004  2.443153801011116E-004  8.640779980107806E-007
  1.000000000000000E-003  2.699522950162571E-004  8.474502099587638E-007
  1.000000000000000E-004  2.076439117192786E-005  9.997230642287620E-007
  2.000000000000000E-004  4.814164682236874E-005  9.868219179634487E-007
  3.000000000000000E-004  7.727742082020198E-005  9.699348425289401E-007
  4.000000000000000E-004  1.065304232244075E-004  9.519556425112561E-007
  5.000000000000000E-004  1.353529935759581E-004  9.338505730097357E-007
  6.000000000000001E-004  1.635710161910253E-004  9.159391705759687E-007
  7.000000000000001E-004  1.911375766826961E-004  8.983240494901463E-007
  8.000000000000001E-004  2.180488488359224E-004  8.810351232414290E-007
  9.000000000000002E-004  2.443153801011116E-004  8.640779980107806E-007
  1.000000000000000E-003  2.699522950162571E-004  8.474502099587638E-007
  1.000000000000000E-004  1.938368170598972E-005  1.000671372388805E-006
  2.000000000000000E-004  4.517895077058359E-005  1.000895212891870E-006
  3.000000000000000E-004  7.311843191018030E-005  1.000969793749294E-006
